breaks,subregion,scale,value
5090,desert,Decadal,-0.10911838415168518
5090,plateau,Decadal,0.11096318848422548
5090,MW,Decadal,0.011523436909133267
5080,desert,Decadal,-0.11965960993032265
5080,plateau,Decadal,0.16987078360868324
5080,MW,Decadal,0.01742681266094781
5070,desert,Decadal,-0.07426639152254833
5070,plateau,Decadal,0.14881346439206133
5070,MW,Decadal,0.003491629088214765
5060,desert,Decadal,0.02888134883103355
5060,plateau,Decadal,0.1777169449839855
5060,MW,Decadal,0.008533601144211644
5050,desert,Decadal,0.08693432518855904
5050,plateau,Decadal,0.2036258102778188
5050,MW,Decadal,0.015719071998421263
5040,desert,Decadal,0.019475619182252046
5040,plateau,Decadal,0.15412372848662148
5040,MW,Decadal,0.0014284282507714963
5030,desert,Decadal,-0.05484347622334296
5030,plateau,Decadal,0.07308919859090324
5030,MW,Decadal,-0.018170736451483815
5020,desert,Decadal,-0.0667106487493907
5020,plateau,Decadal,0.020106869066616184
5020,MW,Decadal,-0.02894062520423235
5010,desert,Decadal,-0.062363127837872234
5010,plateau,Decadal,0.03805644542838049
5010,MW,Decadal,-0.025795883377277562
5000,desert,Decadal,-0.022568310817350223
5000,desert,Centennial,-0.042905768202328165
5000,plateau,Decadal,0.11803248679258527
5000,plateau,Centennial,0.1063297687888598
5000,MW,Decadal,-0.006430102382581904
5000,MW,Centennial,-0.012787416286608178
4990,desert,Decadal,0.00673898082901303
4990,plateau,Decadal,0.1475718148505223
4990,MW,Decadal,0.0027845802194725877
4980,desert,Decadal,-0.015834439704909276
4980,plateau,Decadal,0.1234706820665954
4980,MW,Decadal,-0.005359833009721537
4970,desert,Decadal,-0.04077342398368655
4970,plateau,Decadal,0.12899415171108153
4970,MW,Decadal,-0.00860413560691553
4960,desert,Decadal,-0.09701767006115025
4960,plateau,Decadal,0.1615103186777933
4960,MW,Decadal,-0.01791225403190433
4950,desert,Decadal,-0.1357298181557276
4950,plateau,Decadal,0.0971228756839082
4950,MW,Decadal,-0.059438671305156454
4940,desert,Decadal,-0.12360353282687697
4940,plateau,Decadal,0.02254181805165789
4940,MW,Decadal,-0.07242459057605899
4930,desert,Decadal,-0.10860495494627864
4930,plateau,Decadal,0.010134007762974129
4930,MW,Decadal,-0.03313271758333958
4920,desert,Decadal,-0.09274428394706602
4920,plateau,Decadal,0.04471738081763821
4920,MW,Decadal,0.017657287393069154
4910,desert,Decadal,-0.09040366508999975
4910,plateau,Decadal,0.048084024159900096
4910,MW,Decadal,0.032303504565844854
4900,desert,Decadal,-0.0744554853747359
4900,desert,Centennial,-0.09257496862855596
4900,plateau,Decadal,0.04310819137405275
4900,plateau,Centennial,0.07689117290319292
4900,MW,Decadal,0.03183484527515823
4900,MW,Centennial,0.021174221318465136
4890,desert,Decadal,-0.051417509668150174
4890,plateau,Decadal,0.05840318617804652
4890,MW,Decadal,0.03854126616185116
4880,desert,Decadal,-0.03924754943972486
4880,plateau,Decadal,0.08471797725575492
4880,MW,Decadal,0.053049247910008646
4870,desert,Decadal,-0.07245967975254564
4870,plateau,Decadal,0.13079781598732687
4870,MW,Decadal,0.07493443110011544
4860,desert,Decadal,-0.12902409844961493
4860,plateau,Decadal,0.13598291550762642
4860,MW,Decadal,0.07673431607195802
4850,desert,Decadal,-0.14835383334029784
4850,plateau,Decadal,0.09941986102264266
4850,MW,Decadal,0.0520150938490449
4840,desert,Decadal,-0.1421259791661189
4840,plateau,Decadal,0.08215500581476576
4840,MW,Decadal,0.031118968891363785
4830,desert,Decadal,-0.144409207221885
4830,plateau,Decadal,0.09087588054712548
4830,MW,Decadal,0.04082501209612399
4820,desert,Decadal,-0.15274904760771424
4820,plateau,Decadal,0.09979645367230727
4820,MW,Decadal,0.05283385773717786
4810,desert,Decadal,-0.1617742448408177
4810,plateau,Decadal,0.10662668989260826
4810,MW,Decadal,0.0590377492907912
4800,desert,Decadal,-0.1621459322060259
4800,desert,Centennial,-0.11717786697109656
4800,plateau,Decadal,0.11819357174349676
4800,plateau,Centennial,0.09107944280599689
4800,MW,Decadal,0.06850704270262575
4800,MW,Centennial,0.06262955953024729
4790,desert,Decadal,-0.14117706620232484
4790,plateau,Decadal,0.13254955792723067
4790,MW,Decadal,0.07704720232541984
4780,desert,Decadal,-0.14929248618440472
4780,plateau,Decadal,0.1310288880076449
4780,MW,Decadal,0.07764627708475302
