LabID,Age,Error,Material,Taxa,d13C,Method,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,subregion,agg_n,x,y,Long,Lat
WSU-2476,8580,130,SEDIMENT,NA,-25,RADIOMETRIC,1,NA,5MN1068,Zepher site,USA,Colorado,North America,UWyo2021,INDECK AND KIHM 1982,Plateau,49,-108.26973333531039,38.40222816234257,NA,NA
WSU-2750,1860,45,CHARCOAL,NA,-25,RADIOMETRIC,1,NA,42SA3714,Turkey Pen Ruin,USA,Utah,North America,UWyo2021,Matson 1991:Figure 2.33,Plateau,49,-109.8047757979883,37.62613636591383,NA,NA
WSU-2751,1925,55,CHARCOAL,NA,-25,RADIOMETRIC,1,NA,42SA3714,Turkey Pen Ruin,USA,Utah,North America,UWyo2021,Matson 1991:Figure 2.33,Plateau,49,-109.8047757979883,37.62613636591383,NA,NA
WSU-3512,1980,60,SEEDS,Zea mays,-10,RADIOMETRIC,1,NA,42SA3714,Turkey Pen Ruin,USA,Utah,North America,UWyo2021,Matson and Chisholm 1991:Fig.5,Plateau,49,-109.8047757979883,37.62613636591383,NA,NA
WSU-3513,2050,80,SEEDS,Zea mays,-10,RADIOMETRIC,1,NA,42SA3714,Turkey Pen Ruin,USA,Utah,North America,UWyo2021,Matson and Chisholm 1991:Fig.5,Plateau,49,-109.8047757979883,37.62613636591383,NA,NA
WSU-3980,400,70,SEEDS,Zea mays,-11,RADIOMETRIC,1,NA,Q:1:22,NA,USA,Arizona,North America,UWyo2021,Pederson et al 2011 Report on Data Recovery at Nine Cultural Sites …,Plateau,49,-109.48903635750371,35.39566460066254,NA,NA
WSU-3981,625,85,CHARCOAL,NA,-25,RADIOMETRIC,1,NA,Q:1:22,NA,USA,Arizona,North America,UWyo2021,Pederson et al 2011 Report on Data Recovery at Nine Cultural Sites …,Plateau,49,-109.48903635750371,35.39566460066254,NA,NA
WSU-3982,640,80,SEEDS,Zea mays,-11,RADIOMETRIC,1,NA,Q:1:22,NA,USA,Arizona,North America,UWyo2021,Pederson et al 2011 Report on Data Recovery at Nine Cultural Sites …,Plateau,49,-109.48903635750371,35.39566460066254,NA,NA
WSU-3983,770,60,SEEDS,Bean,-23,RADIOMETRIC,1,NA,Q:1:22,NA,USA,Arizona,North America,UWyo2021,Pederson et al 2011 Report on Data Recovery at Nine Cultural Sites …,Plateau,49,-109.48903635750371,35.39566460066254,NA,NA
WSU-3984,730,90,CHARCOAL,NA,-25,RADIOMETRIC,1,NA,Q:1:22,NA,USA,Arizona,North America,UWyo2021,Pederson et al 2011 Report on Data Recovery at Nine Cultural Sites …,Plateau,49,-109.48903635750371,35.39566460066254,NA,NA
WSU-3985,570,80,SEEDS,Zea mays,-11,RADIOMETRIC,1,NA,Q:1:22,NA,USA,Arizona,North America,UWyo2021,Pederson et al 2011 Report on Data Recovery at Nine Cultural Sites …,Plateau,49,-109.48903635750371,35.39566460066254,NA,NA
WSU-3986,580,80,SEEDS,Zea mays,-11,RADIOMETRIC,1,NA,Q:1:22,NA,USA,Arizona,North America,UWyo2021,Pederson et al 2011 Report on Data Recovery at Nine Cultural Sites …,Plateau,49,-109.48903635750371,35.39566460066254,NA,NA
WSU-3987,700,185,OTHER,grass,-12.5,RADIOMETRIC,1,NA,Q:1:22,NA,USA,Arizona,North America,UWyo2021,Pederson et al 2011 Report on Data Recovery at Nine Cultural Sites …,Plateau,49,-109.48903635750371,35.39566460066254,NA,NA
WSU-4342,2060,90,CHARCOAL,Juniper-Pine Charcoal,-25,RADIOMETRIC,1,NA,42SA3971,Hardscrabble 5-2,USA,Utah,North America,UWyo2021,Matson 1994:Table 1,Plateau,49,-109.8047757979883,37.62613636591383,NA,NA
WSU-4343,2490,80,CHARCOAL,Juniper-Pine Charcoal,-25,RADIOMETRIC,1,NA,42SA3968,Hardscrabble 4-2,USA,Utah,North America,UWyo2021,Matson 1994:Table 1,Plateau,49,-109.8047757979883,37.62613636591383,NA,NA
WSU-4344,2310,80,CHARCOAL,Juniper-Pine Charcoal,-25,RADIOMETRIC,1,NA,42SA3978,Hardscrabble 11-1,USA,Utah,North America,UWyo2021,Matson 1994:Table 1,Plateau,49,-109.8047757979883,37.62613636591383,NA,NA
WSU-4345,1670,90,CHARCOAL,Juniper-Pine Charcoal,-25,RADIOMETRIC,1,NA,42SA4542,North Road C9-5,USA,Utah,North America,UWyo2021,Matson 1994:Table 1,Plateau,49,-109.8047757979883,37.62613636591383,NA,NA
WSU-4346,2110,95,CHARCOAL,Juniper-Pine Charcoal,-25,RADIOMETRIC,1,NA,42SA4411,Hardscrabble 15-1,USA,Utah,North America,UWyo2021,Matson 1994:Table 1,Plateau,49,-109.8047757979883,37.62613636591383,NA,NA
X-3876,3710,90,CHARCOAL,NA,-25,RADIOMETRIC,1,NA,5MT2242,Ridge Line Camp,USA,Colorado,North America,UWyo2021,Southward 1988:248,Plateau,49,-108.59671849600691,37.338643206317514,NA,NA
Y-1350,1700,80,WOOD,NA,-25,RADIOMETRIC,1,NA,42SA363,Lone Tree Dune,USA,Utah,North America,UWyo2021,BERRY 1982,Plateau,49,-109.8047757979883,37.62613636591383,NA,NA
A-11253,500,70,CHARCOAL,charred wood,-26.3,RADIOMETRIC,1,NA,3SF414,Meador Site,USA,Arkansas,North America,UWyo2021,Mitchem Jeffrey 2001 Field Notes,MW,NA,-90.74792437654818,35.02214579665357,NA,NA
A-3358,4700,250,SEEDS,cucurbit seed,NA,AMS,1,NA,15MF36,Cloudsplitter Rockshelter,USA,Kentucky,North America,UWyo2021,Cowan 1997 Evolutionary Changes Associated with the Domestication,MW,NA,-83.59845789916407,37.941318865025266,NA,NA
A-80,1990,250,wood; bois,NA,NA,NA,1,NA,NA,Hannah,USA,NA,North America,CARD,Bluhm and Beeson 1960; Shutler and Damon 1959: 60,MW,NA,-89.75987040212333,40.788110718736284,NA,NA
A-80A,1900,350,CHARCOAL,NA,NA,NA,1,NA,11P782,Caterpillar Mound,USA,Illinois,North America,UWyo2021,NA,MW,NA,-89.75987040212333,40.788110718736284,NA,NA
A-80B,2080,200,CHARCOAL,NA,NA,NA,1,NA,11P782,Caterpillar Mound,USA,Illinois,North America,UWyo2021,NA,MW,NA,-89.75987040212333,40.788110718736284,NA,NA
AA-100255,6249,69,BONE,antler,-21.9,AMS,1,NA,40BN12,Eva,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,MW,NA,-88.06834735169443,36.06987633953808,NA,NA
AA-100256,5799,65,BONE,NA,-22.6,AMS,1,NA,40BN12,Eva,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,MW,NA,-88.06834735169443,36.06987633953808,NA,NA
AA-100257,2939,53,BONE,NA,-22.4,AMS,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-100258,3588,55,BONE,antler,-22.3,AMS,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-100259,3632,57,BONE,antler,-22,AMS,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-100260,3646,63,BONE,antler,-22.4,AMS,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-100261,4178,57,BONE,antler,-23.1,AMS,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-100262,3699,54,BONE,antler,-21.3,AMS,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-100263,4261,57,BONE,antler,-21.5,AMS,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-100264,3851,55,BONE,antler,-22.4,AMS,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-100265,4802,58,BONE,NA,-20.9,AMS,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-100266,4169,56,BONE,antler,-21.7,AMS,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-100267,4175,56,BONE,antler,-22.3,AMS,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-100268,4688,59,BONE,antler,-21.7,AMS,1,NA,40HY13,Kays Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-100269,6460,70,BONE,antler,-22.3,AMS,1,NA,40HY18,Big Sandy,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-100270,6265,69,BONE,antler,-21.9,AMS,1,NA,40HY18,Big Sandy,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-100271,7564,81,BONE,antler,-23.1,AMS,1,NA,40HY18,Big Sandy,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-100272,7795,78,BONE,antler,-21.7,AMS,1,NA,40HY18,Big Sandy,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,MW,NA,-88.30134305682627,36.33187437380848,NA,NA
AA-10079,2335,75,FECES,Homo sapiens paleofece,NA,AMS,1,NA,15ED1,Mammoth Cave,USA,Kentucky,North America,UWyo2021,Gremillion  &  Sobolik 1996,MW,NA,-86.23855280553352,37.209004871183886,NA,NA
AA-10080,2485,70,FECES,Homo sapiens paleofece,NA,AMS,1,NA,15ED1,Mammoth Cave,USA,Kentucky,North America,UWyo2021,Gremillion  &  Sobolik 1996,MW,NA,-86.23855280553352,37.209004871183886,NA,NA
AA-10081,2575,65,FECES,Homo sapiens paleofece,NA,AMS,1,NA,15ED1,Mammoth Cave,USA,Kentucky,North America,UWyo2021,Gremillion  &  Sobolik 1996,MW,NA,-86.23855280553352,37.209004871183886,NA,NA
AA-10082,2365,70,FECES,Homo sapiens paleofece,NA,AMS,1,NA,15ED1,Mammoth Cave,USA,Kentucky,North America,UWyo2021,Gremillion  &  Sobolik 1996,MW,NA,-86.23855280553352,37.209004871183886,NA,NA
AA-10083,2485,70,FECES,Homo sapiens paleofece,NA,AMS,1,NA,15ED1,Mammoth Cave,USA,Kentucky,North America,UWyo2021,Gremillion  &  Sobolik 1996,MW,NA,-86.23855280553352,37.209004871183886,NA,NA
AA-10084,2605,70,FECES,Homo sapiens paleofece,NA,AMS,1,NA,15ED1,Mammoth Cave,USA,Kentucky,North America,UWyo2021,Gremillion  &  Sobolik 1996,MW,NA,-86.23855280553352,37.209004871183886,NA,NA
AA-10085,2700,80,FECES,Homo sapiens paleofece,NA,AMS,1,NA,15ED1,Mammoth Cave,USA,Kentucky,North America,UWyo2021,Gremillion &  Sobolik 1996,MW,NA,-86.23855280553352,37.209004871183886,NA,NA
AA-10086,2570,70,FECES,Homo sapiens paleofece,NA,AMS,1,NA,15HT4,Salts Cave,USA,Kentucky,North America,UWyo2021,Gremillion  &  Sobolik 1996; Ruppert 1994 Evidence for the Endoparasite Giardia Lamblia in Human…,MW,NA,-85.88480250849776,37.300141763664094,NA,NA
AA-10087,2410,70,FECES,Homo sapiens paleofece,NA,AMS,1,NA,15HT4,Salts Cave,USA,Kentucky,North America,UWyo2021,Gremillion  &  Sobolik 1996; Ruppert 1994 Evidence for the Endoparasite Giardia Lamblia in Human…,MW,NA,-85.88480250849776,37.300141763664094,NA,NA
AA-10088,2605,80,FECES,Homo sapiens paleofece,NA,AMS,1,NA,15HT4,Salts Cave,USA,Kentucky,North America,UWyo2021,Gremillion  &  Sobolik 1996; Ruppert 1994 Evidence for the Endoparasite Giardia Lamblia in Human…,MW,NA,-85.88480250849776,37.300141763664094,NA,NA
AA-10089,2590,70,FECES,Homo sapiens paleofece,NA,AMS,1,NA,15HT4,Salts Cave,USA,Kentucky,North America,UWyo2021,Gremillion  &  Sobolik 1996; Ruppert 1994 Evidence for the Endoparasite Giardia Lamblia in Human…,MW,NA,-85.88480250849776,37.300141763664094,NA,NA
AA-10090,2580,70,FECES,Homo sapiens paleofece,NA,AMS,1,NA,15HT4,Salts Cave,USA,Kentucky,North America,UWyo2021,Gremillion  &  Sobolik 1996; Ruppert 1994 Evidence for the Endoparasite Giardia Lamblia in Human…,MW,NA,-85.88480250849776,37.300141763664094,NA,NA
AA-10091,2500,80,FECES,Homo sapiens paleofece,NA,AMS,1,NA,15HT4,Salts Cave,USA,Kentucky,North America,UWyo2021,Gremillion  &  Sobolik 1996; Ruppert 1994 Evidence for the Endoparasite Giardia Lamblia in Human…,MW,NA,-85.88480250849776,37.300141763664094,NA,NA
AA-101226,2560,47,BONE,NA,-21.1,AMS,1,NA,40BN25,Ledbetter Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,MW,NA,-88.06834735169443,36.06987633953808,NA,NA
AA-101227,4005,52,BONE,NA,-22.1,AMS,1,NA,40BN25,Ledbetter Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,MW,NA,-88.06834735169443,36.06987633953808,NA,NA
AA-101228,3889,52,BONE,NA,-21.7,AMS,1,NA,40BN25,Ledbetter Landing,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,MW,NA,-88.06834735169443,36.06987633953808,NA,NA
AA-101229,6153,52,BONE,NA,-22.1,AMS,1,NA,40BN74,Cherry,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,MW,NA,-88.06834735169443,36.06987633953808,NA,NA
AA-101230,6092,51,BONE,NA,-21.6,AMS,1,NA,40BN74,Cherry,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,MW,NA,-88.06834735169443,36.06987633953808,NA,NA
AA-101231,6189,65,BONE,NA,-21.9,AMS,1,NA,40BN74,Cherry,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,MW,NA,-88.06834735169443,36.06987633953808,NA,NA
AA-101234,3713,43,BONE,antler,-21.9,AMS,1,NA,40DR1,Oak View,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,MW,NA,-88.10890944691478,35.60317750635512,NA,NA
AA-101235,4280,53,BONE,NA,-21.1,AMS,1,NA,40DR1,Oak View,USA,Tennessee,North America,UWyo2021,Bissett 2014 dissertation,MW,NA,-88.10890944691478,35.60317750635512,NA,NA
AA-10131 A,12900,110,charcoal; charbon de bois,NA,NA,NA,1,NA,NA,Paleo Crossing,USA,NA,North America,CARD,Maslowski et al. 1995; Brose 1994; Brose and Barrish 1992; Brush 1993; Lepper 1999: 382; Tankersley and Holland 1994,MW,NA,-81.89966685913016,41.11763625244931,NA,NA
AA-10131 B,11675,90,soil extract; extrait de sol,NA,NA,NA,1,NA,NA,Paleo Crossing,USA,NA,North America,CARD,Maslowski et al. 1995; Brose 1994; Brose and Barrish 1992; Brush 1993; Lepper 1999: 382; Tankersley and Holland 1994,MW,NA,-81.89966685913016,41.11763625244931,NA,NA
AA-10131A,12900,110,charcoal; charbon de bois,NA,NA,NA,1,NA,NA,Paleo Crossing,USA,NA,North America,CARD,Maslowski et al. 1995; Brose 1994; Brose and Barrish 1992; Brush 1993; Lepper 1999: 382; Tankersley and Holland 1994,MW,NA,-81.89966685913016,41.11763625244931,NA,NA
AA-10131B,11675,90,soil extract; extrait de sol,NA,NA,NA,1,NA,NA,Paleo Crossing,USA,NA,North America,CARD,Maslowski et al. 1995; Brose 1994; Brose and Barrish 1992; Brush 1993; Lepper 1999: 382; Tankersley and Holland 1994,MW,NA,-81.89966685913016,41.11763625244931,NA,NA
AA-10215,370,45,SEEDS,Charred Zea mays,-10,AMS,1,NA,33HA36,Madisonville,USA,Ohio,North America,UWyo2021,Maslowski et al. 1995; Drooker 2000; Drooker personal communication 2019,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10216,965,110,SEEDS,Charred Zea mays,-10,AMS,1,NA,33HA36,Madisonville,USA,Ohio,North America,UWyo2021,Maslowski et al. 1995; Drooker 2000; Drooker personal communication 2019,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10216-1,965,110,unknown; inconnu,NA,NA,NA,1,NA,NA,Madisonville,USA,NA,North America,CARD,Maslowski et al. 1995,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10217,315,40,SEEDS,Charred Zea mays,-10,AMS,1,NA,33HA36,Madisonville,USA,Ohio,North America,UWyo2021,Maslowski et al. 1995; Drooker 2000; Drooker personal communication 2019,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10218,490,55,SEEDS,Charred Zea mays,-10,AMS,1,NA,33HA36,Madisonville,USA,Ohio,North America,UWyo2021,Maslowski et al. 1995; Drooker 2000; Drooker personal communication 2019,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10219,485,45,SEEDS,Charred Zea mays,-10,AMS,1,NA,33HA36,Madisonville,USA,Ohio,North America,UWyo2021,Maslowski et al. 1995; Drooker 2000; Drooker personal communication 2019,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10220,366,33,unknown; inconnu,NA,NA,NA,1,NA,NA,Madisonville,USA,NA,North America,CARD,Maslowski et al. 1995,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10220-1,400,45,unknown; inconnu,NA,NA,NA,1,NA,NA,Madisonville,USA,NA,North America,CARD,Maslowski et al. 1995,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10220-1A,400,45,SEEDS,Charred Zea mays,-10,AMS,1,NA,33HA36,Madisonville,USA,Ohio,North America,UWyo2021,Maslowski et al. 1995; Drooker 2000; Drooker personal communication 2019,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10220-1B,385,50,SEEDS,Charred Zea mays,NA,AMS,1,NA,33HA36,Madisonville,USA,Ohio,North America,UWyo2021,Drooker 1997; Drooker 2000; Drooker personal communication 2019,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10220-2,325,50,unknown; inconnu,NA,NA,NA,1,NA,NA,Madisonville,USA,NA,North America,CARD,Maslowski et al. 1995,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10220-2A,325,50,SEEDS,Charred Zea mays,-10,AMS,1,NA,33HA36,Madisonville,USA,Ohio,North America,UWyo2021,Maslowski et al. 1995; Drooker 2000; Drooker personal communication 2019,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10220-2B,265,45,SEEDS,Charred Zea mays,NA,AMS,1,NA,33HA36,Madisonville,USA,Ohio,North America,UWyo2021,Drooker 1997; Drooker 2000; Drooker personal communication 2019,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10221,361,37,unknown; inconnu,NA,NA,NA,1,NA,NA,Madisonville,USA,NA,North America,CARD,Maslowski et al. 1995,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10221-1,400,55,unknown; inconnu,NA,NA,NA,1,NA,NA,Madisonville,USA,NA,North America,CARD,Maslowski et al. 1995,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10221-2,295,50,unknown; inconnu,NA,NA,NA,1,NA,NA,Madisonville,USA,NA,North America,CARD,Maslowski et al. 1995,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10222,375,60,SEEDS,Zea mays,-10,AMS,1,NA,33HA10,Hahn's Field,USA,Ohio,North America,UWyo2021,Maslowski et al. 1995; Drooker personal communication 2019,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10223,315,32,unknown; inconnu,NA,NA,NA,1,NA,NA,Hahn's Field,USA,NA,North America,CARD,Maslowski et al. 1995,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10223-1,345,45,SEEDS,Zea mays,-10,AMS,1,NA,33HA10,Hahn's Field,USA,Ohio,North America,UWyo2021,Maslowski et al. 1995; Drooker 2000; Drooker personal communication 2019,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-10223-2,285,45,SEEDS,Zea mays,-10,AMS,1,NA,33HA10,Hahn's Field,USA,Ohio,North America,UWyo2021,Maslowski et al. 1995; Drooker 2000; Drooker personal communication 2019,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-102303,2521,42,SEEDS,Carbonized  Nutshell,NA,AMS,1,NA,40FR267,Uzzelles Shelter,USA,Tennessee,North America,UWyo2021,Carmody 2014-From Foraging to Food Production on the Souther Cumberland Plateau….,MW,NA,-86.0919950604182,35.15518425226606,NA,NA
AA-102304,7920,55,SEEDS,nutshell carbonized,NA,AMS,1,NA,40FR267,Uzzelles Shelter,USA,Tennessee,North America,UWyo2021,Carmody 2014-From Foraging to Food Production on the Souther Cumberland Plateau….,MW,NA,-86.0919950604182,35.15518425226606,NA,NA
AA-102733,956,37,OTHER,carbonized thatch,-11.3,AMS,1,NA,11MO305,Washausen,USA,Illinois,North America,UWyo2021,Barrier 2017-Town aggregation and abandonment during the era….,MW,NA,-90.17723763083622,38.27881577012311,NA,NA
AA-102734,963,37,OTHER,carbonized thatch,-9.8,AMS,1,NA,11MO305,Washausen,USA,Illinois,North America,UWyo2021,Barrier 2017-Town aggregation and abandonment during the era….,MW,NA,-90.17723763083622,38.27881577012311,NA,NA
AA-102735,937,38,SEEDS,knotweed (Polygonum erectum) carbonized,-25,AMS,1,NA,11MO305,Washausen,USA,Illinois,North America,UWyo2021,Barrier 2017-Town aggregation and abandonment during the era….,MW,NA,-90.17723763083622,38.27881577012311,NA,NA
AA-102736,951,37,SEEDS,Zea mays carbonized,-9.1,AMS,1,NA,11MO305,Washausen,USA,Illinois,North America,UWyo2021,Barrier 2017-Town aggregation and abandonment during the era….,MW,NA,-90.17723763083622,38.27881577012311,NA,NA
AA-102737,909,40,SEEDS,Eastern agricultural compled (P. erectum Chenopodium berlandieri) carbonized,-25.1,AMS,1,NA,11MO305,Washausen,USA,Illinois,North America,UWyo2021,Barrier 2017-Town aggregation and abandonment during the era….,MW,NA,-90.17723763083622,38.27881577012311,NA,NA
AA-102738,1091,76,SEEDS,Eastern agricultural compled (Iva annua C. berlandieri) carbonized,-25.2,AMS,1,NA,11MO305,Washausen,USA,Illinois,North America,UWyo2021,Barrier 2017-Town aggregation and abandonment during the era….,MW,NA,-90.17723763083622,38.27881577012311,NA,NA
AA-102739,966,64,SEEDS,Zea mays carbonized,-9.3,AMS,1,NA,11MO305,Washausen,USA,Illinois,North America,UWyo2021,Barrier 2017-Town aggregation and abandonment during the era….,MW,NA,-90.17723763083622,38.27881577012311,NA,NA
AA-102740,959,57,SEEDS,Zea mays carbonized,-25.4,AMS,1,NA,11MO305,Washausen,USA,Illinois,North America,UWyo2021,Barrier 2017-Town aggregation and abandonment during the era….,MW,NA,-90.17723763083622,38.27881577012311,NA,NA
AA-102741,952,37,SEEDS,Zea mays carbonized,-26.8,AMS,1,NA,11MO305,Washausen,USA,Illinois,North America,UWyo2021,Barrier 2017-Town aggregation and abandonment during the era….,MW,NA,-90.17723763083622,38.27881577012311,NA,NA
AA-102742,986,39,CHARCOAL,oak,-26.8,AMS,1,NA,11MO305,Washausen,USA,Illinois,North America,UWyo2021,Barrier 2017-Town aggregation and abandonment during the era….,MW,NA,-90.17723763083622,38.27881577012311,NA,NA
AA-10457,1655,45,CHARCOAL,NA,NA,AMS,1,NA,15BE249,Ronald Watson Gravel,USA,Kentucky,North America,UWyo2021,Huebchen 2006-The Ronald Watson Gravel Site…,MW,NA,-84.72788417236082,38.96985206027308,NA,NA
AA-10458,1258,45,CHARCOAL,NA,NA,AMS,1,NA,15BE249,Ronald Watson Gravel,USA,Kentucky,North America,UWyo2021,Huebchen 2006-The Ronald Watson Gravel Site…,MW,NA,-84.72788417236082,38.96985206027308,NA,NA
AA-10459,1805,50,CHARCOAL,NA,NA,AMS,1,NA,15BE249,Ronald Watson Gravel,USA,Kentucky,North America,UWyo2021,Huebchen 2006-The Ronald Watson Gravel Site…,MW,NA,-84.72788417236082,38.96985206027308,NA,NA
AA-10460,1235,50,CHARCOAL,NA,NA,AMS,1,NA,15BE249,Ronald Watson Gravel,USA,Kentucky,North America,UWyo2021,Huebchen 2006-The Ronald Watson Gravel Site…,MW,NA,-84.72788417236082,38.96985206027308,NA,NA
AA-10461,375,40,CHARCOAL,NA,NA,AMS,1,NA,15BE249,Ronald Watson Gravel,USA,Kentucky,North America,UWyo2021,Huebchen 2006-The Ronald Watson Gravel Site…,MW,NA,-84.72788417236082,38.96985206027308,NA,NA
AA-10462,3090,50,CHARCOAL,NA,NA,AMS,1,NA,15BE249,Ronald Watson Gravel,USA,Kentucky,North America,UWyo2021,Trader 1992 per Pollack 2008-The Archaeology of Kentucky: An Update,MW,NA,-84.72788417236082,38.96985206027308,NA,NA
AA-107652,788,19,CHARCOAL,NA,NA,AMS,1,NA,33HA19,Turpin,USA,Ohio,North America,UWyo2021,Comstock 2017-Climate Change Migration and the Emergence…,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-107653,855,63,CHARCOAL,NA,NA,AMS,1,NA,33HA19,Turpin,USA,Ohio,North America,UWyo2021,Comstock 2017-Climate Change Migration and the Emergence…,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-107654,805,20,CHARCOAL,NA,NA,AMS,1,NA,33HA19,Turpin,USA,Ohio,North America,UWyo2021,Comstock 2017-Climate Change Migration and the Emergence…,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-107655,772,19,CHARCOAL,NA,NA,AMS,1,NA,33HA19,Turpin,USA,Ohio,North America,UWyo2021,Comstock 2017-Climate Change Migration and the Emergence…,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-107656,692,46,CHARCOAL,NA,NA,AMS,1,NA,33HA19,Turpin,USA,Ohio,North America,UWyo2021,Comstock 2017-Climate Change Migration and the Emergence…,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-107657,938,20,CHARCOAL,NA,NA,AMS,1,NA,33HA19,Turpin,USA,Ohio,North America,UWyo2021,Comstock 2017-Climate Change Migration and the Emergence…,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-107847,815,23,CHARCOAL,NA,NA,AMS,1,NA,33HA19,Turpin,USA,Ohio,North America,UWyo2021,Comstock 2017-Climate Change Migration and the Emergence…,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-107848,905,19,CHARCOAL,NA,NA,AMS,1,NA,33HA19,Turpin,USA,Ohio,North America,UWyo2021,Comstock 2017-Climate Change Migration and the Emergence…,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-107849,859,24,CHARCOAL,NA,NA,AMS,1,NA,33HA19,Turpin,USA,Ohio,North America,UWyo2021,Comstock 2017-Climate Change Migration and the Emergence…,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-107850,881,19,CHARCOAL,NA,NA,AMS,1,NA,33HA19,Turpin,USA,Ohio,North America,UWyo2021,Comstock 2017-Climate Change Migration and the Emergence…,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
AA-107851,851,44,CHARCOAL,NA,NA,AMS,1,NA,33HA19,Turpin,USA,Ohio,North America,UWyo2021,Comstock 2017-Climate Change Migration and the Emergence…,MW,NA,-84.54260216827456,39.19559998975863,NA,NA
