Site,County,State,BP,Nuts,EAC,IP,Source
"Cahokia, west",St. Clair & Madison,IL,1037,4,70,16,"Lopinot et al. 1993:416, 418"
"East St Louis, Main St Mnd, Mnd 26",St. Clair,IL,875,24,59,469,Brennan 2016:106
12H993 ,Hamilton,IN,610,64,3,292,Bush 2005b:186
12H993 ,Hamilton,IN,750,38,2,100,Bush 2010:333-334
12MG195 ,Morgan,IN,675,44,1,5,Bush 2004b:68-73
12MO624 ,Monroe,IN,675,12,0,4,Bush 2004b:68-73
Abner ,Hamilton,IN,675,43,0,7,Bush 2004b:68-73
Blair ,Hamilton,IN,675,29,0,17,Bush 2004b:68-73
Bundy-Voyles ,Morgan,IN,622,560,21408,250,Bush 2004b:68-73
Clampitt ,Hamilton,IN,605,1168,4,441,Bush 2004b:68-73
Miles ,Clark,IN,3610,111,0,0,Bush 2002:266-267
Morell-Sheets ,Montgomery,IN,1100,131,1359,350,Bush 83.0888888888889
Noblesville ,Hamilton,IN,636,1,19,78,Bush 2004b:68-73
Pottersville ,Owen,IN,676,932,1,34,Bush 2004b:68-73
Strawtown ,Hamilton,IN,699,288,18,2380,Bush 2005a:222
Baker's Trails,Hamilton,IN,681,287,10,1826,Bush 2004b:68-73
Castor Farm,Hamilton,IN,879,66,178,607,Bush 2004a:265
Cox's Woods,Orange,IN,638,288,127,388,Bush 2004b:68-73
Heaton Farm,Greene,IN,763,3166,124,877,Bush 2004b:68-73
Jennison Guard,Dearborn,IN,1785,112,22,0,Blosser 1996:64
Kramer Enclosure,Allen,IN,728,96,97,610,Bush 2010:333-334
Prairie View,Hamilton,IN,797,298,0,288,Bush 2004b:68-73
Sugar Creek,Johnson,IN,681,248,0,79,Bush 2004b:68-73
Taylor Ten,Hamilton,IN,750,45,1,53,Bush 2010:333-334
Adams ,Fulton,KY,800,1157,67,987,Edging and Dunavan 1986:92-96
Andalex ,Hopkins,KY,800,789,20,752,Crites 1991b:223
Augusta ,Bracken,KY,350,6,0,8,"Rossen 1992a:193, 195"
Bowles ,Ohio,KY,4500,1565,5,0,"Crawford 1982:208, 216, 219"
Chambers ,Marshall,KY,700,17217,459,2336,Rossen 1987b:62
Cloudsplitter ,Menifee,KY,2625,13308,2743,0,"Cowan 1985:455-456, 460, 465"
Cloudsplitter ,Menifee,KY,3950,5865,0,0,"Cowan 1985:335-336, 343-9"
Cox Caldwell,Caldwell,KY,2306,170,10,0,Wymer 1987:125-126
Croley-Evans Knox,Knox,KY,650,8004,72,276,Jefferies et al. 83.1826388888889
Evans Montgomery,Montgomery,KY,2267,243,147,0,Rossen 84.0305555555556
Foster ,Daviess,KY,1025,1638,254,346,Scarry 1991:108-10
Guilfoil ,Fayette,KY,700,837,0,918,Rossen 1987a:168
Hansen ,Greenup,KY,1550,11084,308,0,Lopinot 1988:594
Hansen ,Greenup,KY,4000,512,1,0,"Lopinot 1988:589, 592"
Howard ,Madison,KY,350,2040,5,926,Rossen 2009:81
Howard ,Madison,KY,900,102,0,27,Rossen 2009:80
Laughlin ,Lewis,KY,350,11,1,50,"Rossen 1992a:193, 195"
Muir ,Jessamine,KY,885,6558,572,5902,"Rossen 1988:254, 256, 261"
Thompson ,Greenup,KY,900,320,25,926,"Rossen 1992a:193, 195"
Turk ,Carlisle,KY,600,445,8,541,Edging 1990:85-6
Turk ,Carlisle,KY,800,119,9,237,Edging 1990:85-6
Wickliffe ,Ballard,KY,700,34,29,29,Edging 1991:161
Wickliffe ,Ballard,KY,775,2,0,0,Edging 1991:161
Wickliffe ,Ballard,KY,850,991,822,327,Edging 1991:161
Carlston Annis,Butler,KY,4403,2852,13,0,"Crawford 1982:208, 216, 219"
Carpenter Farm,Franklin,KY,650,187,11,106,Rossen 1992b:173
Cold Oak,Lee,KY,2415,10540,1335,0,"Gremillion 1993:169, 181-2"
Cold Oak,Lee,KY,2885,10477,32,0,"Gremillion 1993:167, 181-2"
Fox Farm,Mason,KY,525,306,217,1219,"Rossen 1992a:193, 195"
Gordon II,Livingston,KY,1040,59,92,1367,Wymer 1987:125-126
Haystack Rockshelters,Powell,KY,1250,6338,113,0,"Cowan 1979:9-11, 29-30"
Peter Cave,Ohio,KY,4000,1491,24,0,"Crawford 1982:208, 219, 221"
Snag Creek,Bracken,KY,525,228,26,325,"Rossen 1992a:193, 195"
Florence Site Complex,Harrison,KY,625,287,5,43,Sharp and Pollack 1992:196
Florence Site Complex,Harrison,KY,625,4378,25,651,Sharp and Pollack 1992:209
Wolf River Rockshelter,Cumberland,KY,2847,11893,37,0,"Scarry 1993:48, 50"
Burkemper ,Lincoln,MO,1325,526,1453,0,O'Brien and Pulliam 1996:179
Burkemper ,Lincoln,MO,1900,471,326,0,O'Brien and Pulliam 1996:179
23SL122 ,St. Louis,MO,1300,128,14,3,Harl 2000:265
Boschert ,St. Charles,MO,1400,141,6,0,Harl 2000:265
Hayden ,St. Louis,MO,1340,2297,1606,0,Harl 2000:265
Hayti Bypass,Pemiscot,MO,924,736,1622,35,"Lopinot 1995:240,248"
Hayti Bypass,Pemiscot,MO,1544,769,282,0,"Lopinot 1995:227,235"
Truman Road,St. Charles,MO,4750,17999,3,0,"Wright 1999:112, 114"
Houpt ,Butler,OH,3206,197,0,0,Duerksen & Doershuk 1998:108
Incinerator ,Montgomery,OH,750,1154,26,597,"Wagner 1996:259, 261"
Madisonville ,Hamilton,OH,445,1811,9,2991,"Purtill and Leone 2014:219, 222, 227"
Schomaker ,Hamilton,OH,562,800,46,1268,"Cowan et al. 1990:26, 29"
Seip ,Ross,OH,700,1,9,0,Wymer 2009 130-131
